,Unit,Abbr,Lost,Kills,LostAvg,KillsAvg
716,Teceitos (CeltIc Axemen),TECE,82,76,12.45,33.55
717,Teceitos (CeltIc Axemen),TECE,19,84,12.45,33.55
719,Appea Gaedotos (Alpine Phalanx),APPE,1,50,3.4,17.05
720,Appea Gaedotos (Alpine Phalanx),APPE,1,40,3.4,17.05
721,Celtae Vollorix (Celtic Lesser King),CELT,5,84,3.4,17.05
725,Gaeroas (Celtic Spearmen),GAER,16,0,3.4,17.05
726,Gaeroas (Celtic Spearmen),GAER,13,44,3.4,17.05
728,Hoplitai (Greek ClassIcal Hoplites),HOPL,0,13,3.4,17.05
729,Hoplitai (Greek ClassIcal Hoplites),HOPL,0,15,3.4,17.05
731,Mori Gaesum (Helvetii Phalanx),MORI,6,48,3.4,17.05
736,Teceitos (CeltIc Axemen),TECE,16,35,3.4,17.05
741,Eqvites Consvlares (Republican Consular Guard Cavalry),EQVI,22,42,5.736842105,27.36842105
742,Gaesamica (Javelineers),GAES,0,12,5.736842105,27.36842105
744,Iberi Milites (Iberian Light Spearman),IBER,19,58,5.736842105,27.36842105
745,Iberi Milites (Iberian Light Spearman),IBER,12,12,5.736842105,27.36842105
746,Mezugenoi (Celtiberian Swordsmen),MEZU,0,13,5.736842105,27.36842105
747,Mezugenoi (Celtiberian Swordsmen),MEZU,0,30,5.736842105,27.36842105
748,Mezugenoi (Celtiberian Swordsmen),MEZU,0,17,5.736842105,27.36842105
749,Noshei-Romah Mashliyim (Numidian Infantry),NOSH,5,64,5.736842105,27.36842105
752,Qasatim Numidim (Numidian Archers),QASA,0,46,5.736842105,27.36842105
753,Qasatim Numidim (Numidian Archers),QASA,3,70,5.736842105,27.36842105
754,Qasatim Numidim (Numidian Archers),QASA,47,69,5.736842105,27.36842105
755,Dorkim Shardanim (Sardinian Infantry),SARD,0,35,5.736842105,27.36842105
756,Dorkim Shardanim (Sardinian Infantry),SARD,1,11,5.736842105,27.36842105
757,Dorkim Shardanim (Sardinian Infantry),SARD,0,15,5.736842105,27.36842105
760,Celtae Vollorix (Celtic Lesser King),CELT,0,55,10.3,34
761,Cohors Reformata (Post Marian Legionary Cohort),COHO,11,65,10.3,34
762,Cohors Reformata (Post Marian Legionary Cohort),COHO,5,54,10.3,34
763,Gaeroas (Celtic Spearmen),GAER,38,34,10.3,34
764,Gaeroas (Celtic Spearmen),GAER,68,82,10.3,34
765,Gaeroas (Celtic Spearmen),GAER,36,70,10.3,34
767,Hoplitai (Greek ClassIcal Hoplites),HOPL,4,70,10.3,34
769,Kluddacorii (Alpine Shortswordsmen),KLUD,14,35,10.3,34
772,Pezoi Brettioi (Bruttlan Infantry),PEZO,3,22,10.3,34
773,Principes (Camillan Heavy Infantry Maniple),PRIN,1,22,10.3,34
775,Teceitos (CeltIc Axemen),TECE,5,61,10.3,34
777,Vigiles (Town Watch),VIGI,1,23,10.3,34
778,Unlocalized Arabic General,ARAB,28,160,24,42.55555556
779,Unlocalized Arabic General,ARAB,12,57,24,42.55555556
780,Bnei Shevet 'Arabim (Arabian Light Infantry),BNEI,3,23,24,42.55555556
781,Bnei Shevet 'Arabim (Arabian Light Infantry),BNEI,9,26,24,42.55555556
782,Pantodapoi (Hellenic Native Spearmen),PANT,17,49,24,42.55555556
783,Pantodapoi (Hellenic Native Spearmen),PANT,102,10,24,42.55555556
784,Pantodapoi (Hellenic Native Spearmen),PANT,1,17,24,42.55555556
785,Pantodapoi (Hellenic Native Spearmen),PANT,44,1,24,42.55555556
786,Qala'im 'Arabim (Arabian Slingers),QALA,0,40,24,42.55555556
787,Appea Gaedotos (Alpine Phalanx),APPE,4,50,8.15,35.35
788,Appea Gaedotos (Alpine Phalanx),APPE,3,47,8.15,35.35
789,Celtae Vollorix (Celtic Lesser King),CELT,3,42,8.15,35.35
790,Cohors Reformata (Post Marian Legionary Cohort),COHO,5,44,8.15,35.35
791,Cohors Reformata (Post Marian Legionary Cohort),COHO,3,66,8.15,35.35
793,Gaeroas (Celtic Spearmen),GAER,7,13,8.15,35.35
794,Gaeroas (Celtic Spearmen),GAER,3,25,8.15,35.35
797,Hoplitai (Greek ClassIcal Hoplites),HOPL,8,87,8.15,35.35
798,Kluddacorii (Alpine Shortswordsmen),KLUD,17,39,8.15,35.35
799,Mori Gaesum (Helvetii Phalanx),MORI,9,39,8.15,35.35
801,Pezoi Brettioi (Bruttlan Infantry),PEZO,16,43,8.15,35.35
802,Principes (Camillan Heavy Infantry Maniple),PRIN,0,14,8.15,35.35
803,Principes (Camillan Heavy Infantry Maniple),PRIN,4,31,8.15,35.35
804,Teceitos (CeltIc Axemen),TECE,23,53,8.15,35.35
806,Vigiles (Town Watch),VIGI,19,26,8.15,35.35
807,Celtae Vollorix (Celtic Lesser King),CELT,5,59,21.58333333,54.66666667
808,Cohors Evocata (Post Marian Reenlisted Veterans Consort),COHE,4,20,21.58333333,54.66666667
809,Cohors Evocata (Post Marian Reenlisted Veterans Consort),COHE,3,28,21.58333333,54.66666667
814,Teceitos (CeltIc Axemen),TECE,26,43,21.58333333,54.66666667
815,Teceitos (CeltIc Axemen),TECE,27,41,21.58333333,54.66666667
816,Tekastos (RhaetJc Axemen),TEKA,76,124,21.58333333,54.66666667
817,Tekastos (RhaetJc Axemen),TEKA,2,49,21.58333333,54.66666667
818,Tekastos (RhaetJc Axemen),TEKA,34,134,21.58333333,54.66666667
819,Cohors Evocata (Post Marian Reenlisted Veterans Consort),COHE,22,57,35.92307692,46.53846154
820,Cohors Reformata (Post Marian Legionary Cohort),COHO,30,63,35.92307692,46.53846154
821,Cohors Reformata (Post Marian Legionary Cohort),COHO,73,46,35.92307692,46.53846154
822,Cohors Reformata (Post Marian Legionary Cohort),COHO,62,63,35.92307692,46.53846154
823,Cohors Reformata (Post Marian Legionary Cohort),COHO,88,53,35.92307692,46.53846154
824,Cohors Reformata (Post Marian Legionary Cohort),COHO,4,25,35.92307692,46.53846154
825,Cohors Reformata (Post Marian Legionary Cohort),COHO,16,87,35.92307692,46.53846154
826,Eqvites Consvlares (Republican Consular Guard Cavalry),EQVI,26,7,35.92307692,46.53846154
827,Hoplitai (Greek ClassIcal Hoplites),HOPL,15,20,35.92307692,46.53846154
828,Hoplitai (Greek ClassIcal Hoplites),HOPL,34,79,35.92307692,46.53846154
829,Hoplitai (Greek ClassIcal Hoplites),HOPL,0,44,35.92307692,46.53846154
830,Pezoi Brettioi (Bruttlan Infantry),PEZO,57,26,35.92307692,46.53846154
831,Pezoi Brettioi (Bruttlan Infantry),PEZO,40,35,35.92307692,46.53846154
834,Celtae Vollorix (Celtic Lesser King),CELT,1,52,8.105263158,33.10526316
835,Cohors Reformata (Post Marian Legionary Cohort),COHO,40,193,8.105263158,33.10526316
836,Cohors Reformata (Post Marian Legionary Cohort),COHO,21,161,8.105263158,33.10526316
837,Gaeroas (Celtic Spearmen),GAER,0,11,8.105263158,33.10526316
838,Gaeroas (Celtic Spearmen),GAER,19,1,8.105263158,33.10526316
839,Gaeroas (Celtic Spearmen),GAER,0,24,8.105263158,33.10526316
842,Hoplitai (Greek ClassIcal Hoplites),HOPL,0,33,8.105263158,33.10526316
846,Pezoi Brettioi (Bruttlan Infantry),PEZO,5,8,8.105263158,33.10526316
847,Principes (Camillan Heavy Infantry Maniple),PRIN,54,91,8.105263158,33.10526316
850,Vigiles (Town Watch),VIGI,0,23,8.105263158,33.10526316
852,Appea Gaedotos (Alpine Phalanx),APPE,4,34,2.5,12.3
853,Appea Gaedotos (Alpine Phalanx),APPE,0,22,2.5,12.3
854,Celtae Vollorix (Celtic Lesser King),CELT,4,35,2.5,12.3
855,Cohors Reformata (Post Marian Legionary Cohort),COHO,7,9,2.5,12.3
857,Gaeroas (Celtic Spearmen),GAER,1,12,2.5,12.3
858,Gaeroas (Celtic Spearmen),GAER,0,11,2.5,12.3
862,Iaosatae (Celtic Slingers),IOSA,0,19,2.5,12.3
863,Kluddacorii (Alpine Shortswordsmen),KLUD,3,9,2.5,12.3
864,Lugoae (Celtic Levy Spearmen),LUGO,8,3,2.5,12.3
867,Teceitos (CeltIc Axemen),TECE,8,17,2.5,12.3
872,Unlocalized Arabic General,ARAB,30,77,16.42857143,37.95238095
873,Unlocalized Arabic General,ARAB,14,69,16.42857143,37.95238095
874,Bnei Shevet 'Arabim (Arabian Light Infantry),BNEI,1,21,16.42857143,37.95238095
875,Bnei Shevet 'Arabim (Arabian Light Infantry),BNEI,18,38,16.42857143,37.95238095
876,Bnei Shevet 'Arabim (Arabian Light Infantry),BNEI,63,38,16.42857143,37.95238095
877,Bnei Shevet 'Arabim (Arabian Light Infantry),BNEI,12,53,16.42857143,37.95238095
878,Bnei Shevet 'Arabim (Arabian Light Infantry),BNEI,28,47,16.42857143,37.95238095
879,Hoplitai (Greek ClassIcal Hoplites),HOPL,4,34,16.42857143,37.95238095
881,Noshei-Romah Mashliyim (Numidian Infantry),NOSH,10,21,16.42857143,37.95238095
883,Pantodapoi (Hellenic Native Spearmen),PANT,11,11,16.42857143,37.95238095
884,Pantodapoi (Hellenic Native Spearmen),PANT,46,16,16.42857143,37.95238095
887,Peltastai (Hellenic Heavy Skirmishers),PELT,7,15,16.42857143,37.95238095
888,Qala'im 'Arabim (Arabian Slingers),QALA,4,71,16.42857143,37.95238095
889,Qala'im 'Arabim (Arabian Slingers),QALA,1,58,16.42857143,37.95238095
890,Qala'im 'Arabim (Arabian Slingers),QALA,6,33,16.42857143,37.95238095
891,Qala'im 'Arabim (Arabian Slingers),QALA,1,63,16.42857143,37.95238095
895,Hoplital Haplol (Greek Levy Hoplites),HOPH,1,35,25.69230769,46.61538462
896,Hoplital Haplol (Greek Levy Hoplites),HOPH,6,12,25.69230769,46.61538462
897,Hoplitai (Greek ClassIcal Hoplites),HOPL,9,36,25.69230769,46.61538462
898,Machimoi (Native Egyptian Infantry),MACH,57,12,25.69230769,46.61538462
899,Machimoi (Native Egyptian Infantry),MACH,24,58,25.69230769,46.61538462
900,Machimoi (Native Egyptian Infantry),MACH,12,76,25.69230769,46.61538462
901,Machimoi (Native Egyptian Infantry),MACH,19,57,25.69230769,46.61538462
903,Mistophoros Strategos (Hellenistic Mercenary General),MIST,22,87,25.69230769,46.61538462
904,Mistophoros Strategos (Hellenistic Mercenary General),MIST,16,97,25.69230769,46.61538462
905,Pantodapoi (Hellenic Native Spearmen),PANT,27,34,25.69230769,46.61538462
906,Cohors Evocata (Post Marian Reenlisted Veterans Consort),COHE,5,75,12.68421053,45.68421053
907,Cohors Evocata (Post Marian Reenlisted Veterans Consort),COHE,8,41,12.68421053,45.68421053
908,Cohors Evocata (Post Marian Reenlisted Veterans Consort),COHE,11,49,12.68421053,45.68421053
911,Mistophoros Strategos (Hellenistic Mercenary General),MIST,10,47,12.68421053,45.68421053
912,Peltastai (Hellenic Heavy Skirmishers),PELT,4,28,12.68421053,45.68421053
913,Pezoi Brettioi (Bruttlan Infantry),PEZO,10,30,12.68421053,45.68421053
918,Teceitos (CeltIc Axemen),TECE,1,38,12.68421053,45.68421053
919,Teceitos (CeltIc Axemen),TECE,3,55,12.68421053,45.68421053
920,Teceitos (CeltIc Axemen),TECE,9,33,12.68421053,45.68421053
921,Teceitos (CeltIc Axemen),TECE,18,70,12.68421053,45.68421053
922,Teceitos (CeltIc Axemen),TECE,12,103,12.68421053,45.68421053
923,Tekastos (RhaetJc Axemen),TEKA,26,91,12.68421053,45.68421053
924,Vigiles (Town Watch),VIGI,38,72,12.68421053,45.68421053
926,Appea Gaedotos (Alpine Phalanx),APPE,2,46,6.5,41.6
927,Appea Gaedotos (Alpine Phalanx),APPE,8,59,6.5,41.6
928,Celtae Vollorix (Celtic Lesser King),CELT,0,64,6.5,41.6
929,Cohors Evocata (Post Marian Reenlisted Veterans Consort),COHE,1,18,6.5,41.6
930,Cohors Reformata (Post Marian Legionary Cohort),COHO,34,85,6.5,41.6
931,Gaeroas (Celtic Spearmen),GAER,5,23,6.5,41.6
932,Gaeroas (Celtic Spearmen),GAER,2,12,6.5,41.6
934,Hoplitai (Greek ClassIcal Hoplites),HOPL,5,23,6.5,41.6
935,Hoplitai (Greek ClassIcal Hoplites),HOPL,6,74,6.5,41.6
936,Iaosatae (Celtic Slingers),IOSA,0,101,6.5,41.6
938,Lugoae (Celtic Levy Spearmen),LUGO,40,70,6.5,41.6
940,Teceitos (CeltIc Axemen),TECE,4,33,6.5,41.6
942,Teceitos (CeltIc Axemen),TECE,1,31,6.5,41.6
944,Vigiles (Town Watch),VIGI,15,94,6.5,41.6
946,Noshei-Romah Mashliyim (Numidian Infantry),NOSH,26,52,19.5,32
952,Parasim Numidim (Numidian Cavalry),PARN,2,30,19.5,32
953,Parasim Numidim (Numidian Cavalry),PARN,33,16,19.5,32
954,Qasatim Numidim (Numidian Archers),QASA,12,31,19.5,32
955,Qasatim Numidim (Numidian Archers),QASA,1,47,19.5,32
956,Qasatim Numidim (Numidian Archers),QASA,27,25,19.5,32
958,Unlocalized Arabic General,ARAB,27,11,2.4,8.95
959,Unlocalized Arabic General,ARAB,14,36,2.4,8.95
960,Unlocalized Arabic General,ARAB,1,13,2.4,8.95
961,Bnei Shevet 'Arabim (Arabian Light Infantry),BNEI,0,14,2.4,8.95
963,Bnei Shevet 'Arabim (Arabian Light Infantry),BNEI,0,19,2.4,8.95
970,Parasim Numidim (Numidian Cavalry),PARN,5,46,2.4,8.95
977,Cohors Evocata (Post Marian Reenlisted Veterans Consort),COHE,0,12,7.45,38.1
978,Cohors Evocata (Post Marian Reenlisted Veterans Consort),COHE,0,25,7.45,38.1
979,Cohors Evocata (Post Marian Reenlisted Veterans Consort),COHE,2,27,7.45,38.1
982,Mistophoros Strategos (Hellenistic Mercenary General),MIST,5,21,7.45,38.1
983,Mori Gaesum (Helvetii Phalanx),MORI,9,27,7.45,38.1
984,Peltastai (Hellenic Heavy Skirmishers),PELT,1,21,7.45,38.1
985,Pezoi Brettioi (Bruttlan Infantry),PEZO,1,13,7.45,38.1
990,Teceitos (CeltIc Axemen),TECE,1,13,7.45,38.1
991,Teceitos (CeltIc Axemen),TECE,5,44,7.45,38.1
992,Teceitos (CeltIc Axemen),TECE,8,54,7.45,38.1
993,Teceitos (CeltIc Axemen),TECE,0,19,7.45,38.1
994,Teceitos (CeltIc Axemen),TECE,10,31,7.45,38.1
995,Tekastos (RhaetJc Axemen),TEKA,58,180,7.45,38.1
996,Vigiles (Town Watch),VIGI,14,2,7.45,38.1
998,Appea Gaedotos (Alpine Phalanx),APPE,9,67,10.52941176,39.54166667
999,Celtae Vollorix (Celtic Lesser King),CELT,5,78,10.52941176,39.54166667
1000,Cohors Reformata (Post Marian Legionary Cohort),COHO,1,11,10.52941176,39.54166667
1001,Cohors Reformata (Post Marian Legionary Cohort),COHO,9,69,10.52941176,39.54166667
1002,Gaeroas (Celtic Spearmen),GAER,11,53,10.52941176,39.54166667
1003,Gaeroas (Celtic Spearmen),GAER,26,46,10.52941176,39.54166667
1006,Hoplitai (Greek ClassIcal Hoplites),HOPL,2,20,10.52941176,39.54166667
1007,Iaosatae (Celtic Slingers),IOSA,3,72,10.52941176,39.54166667
1009,Lugoae (Celtic Levy Spearmen),LUGO,33,57,10.52941176,39.54166667
1010,Mori Gaesum (Helvetii Phalanx),MORI,3,46,10.52941176,39.54166667
1011,Teceitos (CeltIc Axemen),TECE,35,83,10.52941176,39.54166667
1013,Vigiles (Town Watch),VIGI,22,72,10.52941176,39.54166667
1015,Gaeroas (Celtic Spearmen),GAER,65,46,17.14285714,27.14285714
1016,Iaosatae (Celtic Slingers),IOSA,0,13,17.14285714,27.14285714
1017,Iaosatae (Celtic Slingers),IOSA,0,15,17.14285714,27.14285714
1018,Lugoae (Celtic Levy Spearmen),LUGO,25,48,17.14285714,27.14285714
1019,Vigiles (Town Watch),VIGI,7,14,17.14285714,27.14285714
1020,Vigiles (Town Watch),VIGI,21,46,17.14285714,27.14285714
1025,Bnei Shevet 'Arabim (Arabian Light Infantry),BNEI,33,4,19.5,52.65
1026,Bnei Shevet 'Arabim (Arabian Light Infantry),BNEI,8,3,19.5,52.65
1027,Bnei Shevet 'Arabim (Arabian Light Infantry),BNEI,87,149,19.5,52.65
1028,Bnei Shevet 'Arabim (Arabian Light Infantry),BNEI,36,86,19.5,52.65
1029,Bnei Shevet 'Arabim (Arabian Light Infantry),BNEI,44,31,19.5,52.65
1030,Bnei Shevet 'Arabim (Arabian Light Infantry),BNEI,86,148,19.5,52.65
1031,Bnei Shevet 'Arabim (Arabian Light Infantry),BNEI,43,99,19.5,52.65
1032,Hoplitai (Greek ClassIcal Hoplites),HOPL,15,134,19.5,52.65
1034,Parasim Numidim (Numidian Cavalry),PARN,1,11,19.5,52.65
1036,Qala'im 'Arabim (Arabian Slingers),QALA,0,57,19.5,52.65
1037,Qala'im 'Arabim (Arabian Slingers),QALA,1,96,19.5,52.65
1038,Qala'im 'Arabim (Arabian Slingers),QALA,1,37,19.5,52.65
1039,Qala'im 'Arabim (Arabian Slingers),QALA,1,97,19.5,52.65
1040,Qala'im 'Arabim (Arabian Slingers),QALA,4,48,19.5,52.65
1041,Appea Gaedotos (Alpine Phalanx),APPE,3,21,5.162162162,36.05405405
1042,Appea Gaedotos (Alpine Phalanx),APPE,20,62,5.162162162,36.05405405
1043,Appea Gaedotos (Alpine Phalanx),APPE,4,64,5.162162162,36.05405405
1044,Appea Gaedotos (Alpine Phalanx),APPE,0,37,5.162162162,36.05405405
1045,Appea Gaedotos (Alpine Phalanx),APPE,1,26,5.162162162,36.05405405
1046,Appea Gaedotos (Alpine Phalanx),APPE,0,48,5.162162162,36.05405405
1049,Appea Gaedotos (Alpine Phalanx),APPE,0,15,5.162162162,36.05405405
1050,Appea Gaedotos (Alpine Phalanx),APPE,10,136,5.162162162,36.05405405
1052,Cantabrae Eponereidam (Cantabrian Light Cavalry),CANT,1,23,5.162162162,36.05405405
1054,Eqvites Consvlares (Republican Consular Guard Cavalry),EQVI,19,37,5.162162162,36.05405405
1055,Gaesamica (Javelineers),GAES,3,15,5.162162162,36.05405405
1056,Merkabim Garamantim(Garamantine Chariots),GARC,0,11,5.162162162,36.05405405
1058,Iberi Milites (Iberian Light Spearman),IBER,14,53,5.162162162,36.05405405
1059,Lugoae (Celtic Levy Spearmen),LUGO,2,56,5.162162162,36.05405405
1060,Mezugenoi (Celtiberian Swordsmen),MEZU,1,19,5.162162162,36.05405405
1061,Mezugenoi (Celtiberian Swordsmen),MEZU,0,45,5.162162162,36.05405405
1062,Mezugenoi (Celtiberian Swordsmen),MEZU,0,17,5.162162162,36.05405405
1065,Mori Gaesum (Helvetii Phalanx),MORI,13,6,5.162162162,36.05405405
1066,Mori Gaesum (Helvetii Phalanx),MORI,0,14,5.162162162,36.05405405
1067,Mori Gaesum (Helvetii Phalanx),MORI,6,70,5.162162162,36.05405405
1068,Mori Gaesum (Helvetii Phalanx),MORI,1,75,5.162162162,36.05405405
1070,Noshei-Romah Mashliyim (Numidian Infantry),NOSH,39,118,5.162162162,36.05405405
1071,Parasim Numidim (Numidian Cavalry),PARN,23,62,5.162162162,36.05405405
1073,Qasatim Numidim (Numidian Archers),QASA,1,81,5.162162162,36.05405405
1074,Qasatim Numidim (Numidian Archers),QASA,0,44,5.162162162,36.05405405
1075,Dorkim Shardanim (Sardinian Infantry),SARD,1,83,5.162162162,36.05405405
1076,Dorkim Shardanim (Sardinian Infantry),SARD,0,58,5.162162162,36.05405405
1077,Dorkim Shardanim (Sardinian Infantry),SARD,27,14,5.162162162,36.05405405
1079,Celtae Vollorix (Celtic Lesser King),CELT,9,117,9.857142857,48.71428571
1080,Celtae Vollorix (Celtic Lesser King),CELT,10,125,9.857142857,48.71428571
1082,Gaeroas (Celtic Spearmen),GAER,28,49,9.857142857,48.71428571
1083,Lugoae (Celtic Levy Spearmen),LUGO,19,35,9.857142857,48.71428571
1085,Antesignati (Post Marian Elite Legionary Light Infantry),ANTE,39,25,50,32.1
1086,Cohors Reformata (Post Marian Legionary Cohort),COHO,94,87,50,32.1
1087,Cohors Reformata (Post Marian Legionary Cohort),COHO,44,43,50,32.1
1088,Cohors Reformata (Post Marian Legionary Cohort),COHO,89,96,50,32.1
1089,Cohors Reformata (Post Marian Legionary Cohort),COHO,55,25,50,32.1
1090,Eqvites Consvlares (Republican Consular Guard Cavalry),EQVI,34,7,50,32.1
1092,Hoplitai (Greek ClassIcal Hoplites),HOPL,63,22,50,32.1
1093,Hoplitai (Greek ClassIcal Hoplites),HOPL,74,48,50,32.1
1096,Mori Gaesum (Helvetii Phalanx),MORI,73,62,50,32.1
1097,Peltastai (Hellenic Heavy Skirmishers),PELT,50,21,50,32.1
1098,Peltastai (Hellenic Heavy Skirmishers),PELT,46,24,50,32.1
1099,Dorkim Shardanim (Sardinian Infantry),SARD,25,18,50,32.1
1100,Dorkim Shardanim (Sardinian Infantry),SARD,15,21,50,32.1
1101,Dorkim Shardanim (Sardinian Infantry),SARD,46,40,50,32.1
1102,Dorkim Shardanim (Sardinian Infantry),SARD,28,12,50,32.1
1103,Dorkim Shardanim (Sardinian Infantry),SARD,28,22,50,32.1
1104,Dorkim Shardanim (Sardinian Infantry),SARD,27,41,50,32.1
1105,Appea Gaedotos (Alpine Phalanx),APPE,33,109,7.85,36.3
1106,Appea Gaedotos (Alpine Phalanx),APPE,9,60,7.85,36.3
1107,Celtae Vollorix (Celtic Lesser King),CELT,0,11,7.85,36.3
1110,Cohors Reformata (Post Marian Legionary Cohort),COHO,0,74,7.85,36.3
1111,Gaeroas (Celtic Spearmen),GAER,0,11,7.85,36.3
1112,Gaeroas (Celtic Spearmen),GAER,39,87,7.85,36.3
1113,Gaeroas (Celtic Spearmen),GAER,21,34,7.85,36.3
1116,Iaosatae (Celtic Slingers),IOSA,12,39,7.85,36.3
1117,Iaosatae (Celtic Slingers),IOSA,5,18,7.85,36.3
1118,Iaosatae (Celtic Slingers),IOSA,0,30,7.85,36.3
1119,Lugoae (Celtic Levy Spearmen),LUGO,34,121,7.85,36.3
1121,Mori Gaesum (Helvetii Phalanx),MORI,3,119,7.85,36.3
1125,Appea Gaedotos (Alpine Phalanx),APPE,13,84,8.540540541,24.16216216
1126,Appea Gaedotos (Alpine Phalanx),APPE,7,24,8.540540541,24.16216216
1128,Appea Gaedotos (Alpine Phalanx),APPE,8,70,8.540540541,24.16216216
1132,Appea Gaedotos (Alpine Phalanx),APPE,14,54,8.540540541,24.16216216
1133,Appea Gaedotos (Alpine Phalanx),APPE,2,12,8.540540541,24.16216216
1135,Cantabrae Eponereidam (Cantabrian Light Cavalry),CANT,45,47,8.540540541,24.16216216
1136,Cantabrae Eponereidam (Cantabrian Light Cavalry),CANT,24,35,8.540540541,24.16216216
1137,Eqvites Consvlares (Republican Consular Guard Cavalry),EQVI,22,101,8.540540541,24.16216216
1138,Eqvites Consvlares (Republican Consular Guard Cavalry),EQVI,24,45,8.540540541,24.16216216
1139,Gaesamica (Javelineers),GAES,26,20,8.540540541,24.16216216
1140,Merkabim Garamantim(Garamantine Chariots),GARC,11,39,8.540540541,24.16216216
1148,Mori Gaesum (Helvetii Phalanx),MORI,4,47,8.540540541,24.16216216
1150,Mori Gaesum (Helvetii Phalanx),MORI,5,6,8.540540541,24.16216216
1152,Mori Gaesum (Helvetii Phalanx),MORI,5,32,8.540540541,24.16216216
1153,Noshei-Romah Mashliyim (Numidian Infantry),NOSH,2,53,8.540540541,24.16216216
1154,Noshei-Romah Mashliyim (Numidian Infantry),NOSH,3,80,8.540540541,24.16216216
1155,Parasim Numidim (Numidian Cavalry),PARN,44,62,8.540540541,24.16216216
1156,Qasatim Numidim (Numidian Archers),QASA,4,20,8.540540541,24.16216216
1158,Qasatim Numidim (Numidian Archers),QASA,37,1,8.540540541,24.16216216
1162,Celtae Vollorix (Celtic Lesser King),CELT,3,114,23,112.5
1163,Gaeroas (Celtic Spearmen),GAER,43,111,23,112.5
1165,Cohors Evocata (Post Marian Reenlisted Veterans Consort),COHE,11,32,9.222222222,11.33333333
1166,Cohors Evocata (Post Marian Reenlisted Veterans Consort),COHE,10,31,9.222222222,11.33333333
1168,Cohors Reformata (Post Marian Legionary Cohort),COHO,2,9,9.222222222,11.33333333
1169,Cohors Reformata (Post Marian Legionary Cohort),COHO,4,13,9.222222222,11.33333333
1170,Cohors Reformata (Post Marian Legionary Cohort),COHO,5,24,9.222222222,11.33333333
1171,Cohors Reformata (Post Marian Legionary Cohort),COHO,19,21,9.222222222,11.33333333
1172,Cohors Reformata (Post Marian Legionary Cohort),COHO,41,30,9.222222222,11.33333333
1173,Cohors Reformata (Post Marian Legionary Cohort),COHO,7,9,9.222222222,11.33333333
1178,Hoplitai (Greek ClassIcal Hoplites),HOPL,31,15,9.222222222,11.33333333
1179,Hoplitai (Greek ClassIcal Hoplites),HOPL,21,5,9.222222222,11.33333333
1180,Pezoi Brettioi (Bruttlan Infantry),PEZO,15,11,9.222222222,11.33333333
1182,Celtae Vollorix (Celtic Lesser King),CELT,28,147,58,96.33333333
1183,Gaeroas (Celtic Spearmen),GAER,53,4,58,96.33333333
1184,Gaeroas (Celtic Spearmen),GAER,93,138,58,96.33333333
1185,Antesignati (Post Marian Elite Legionary Light Infantry),ANTE,61,50,71.65,29.1
1186,Cohors Evocata (Post Marian Reenlisted Veterans Consort),COHE,74,19,71.65,29.1
1187,Cohors Evocata (Post Marian Reenlisted Veterans Consort),COHE,74,31,71.65,29.1
1188,Cohors Evocata (Post Marian Reenlisted Veterans Consort),COHE,57,33,71.65,29.1
1189,Cohors Reformata (Post Marian Legionary Cohort),COHO,102,57,71.65,29.1
1190,Cohors Reformata (Post Marian Legionary Cohort),COHO,100,10,71.65,29.1
1191,Cohors Reformata (Post Marian Legionary Cohort),COHO,97,64,71.65,29.1
1192,Cohors Reformata (Post Marian Legionary Cohort),COHO,87,46,71.65,29.1
1193,Cohors Reformata (Post Marian Legionary Cohort),COHO,64,25,71.65,29.1
1194,Cohors Reformata (Post Marian Legionary Cohort),COHO,5,34,71.65,29.1
1195,Cohors Reformata (Post Marian Legionary Cohort),COHO,102,14,71.65,29.1
1198,Hoplitai (Greek ClassIcal Hoplites),HOPL,82,14,71.65,29.1
1199,Hoplitai (Greek ClassIcal Hoplites),HOPL,82,32,71.65,29.1
1200,Pezoi Brettioi (Bruttlan Infantry),PEZO,57,6,71.65,29.1
1201,Principes (Camillan Heavy Infantry Maniple),PRIN,82,46,71.65,29.1
1202,Dorkim Shardanim (Sardinian Infantry),SARD,80,12,71.65,29.1
1205,Antesignati (Post Marian Elite Legionary Light Infantry),ANTE,54,44,68.28,42.52
1206,Cohors Evocata (Post Marian Reenlisted Veterans Consort),COHE,67,10,68.28,42.52
1207,Cohors Evocata (Post Marian Reenlisted Veterans Consort),COHE,70,64,68.28,42.52
1208,Cohors Evocata (Post Marian Reenlisted Veterans Consort),COHE,40,91,68.28,42.52
1209,Cohors Reformata (Post Marian Legionary Cohort),COHO,88,51,68.28,42.52
1210,Cohors Reformata (Post Marian Legionary Cohort),COHO,89,85,68.28,42.52
1211,Cohors Reformata (Post Marian Legionary Cohort),COHO,93,21,68.28,42.52
1212,Cohors Reformata (Post Marian Legionary Cohort),COHO,67,17,68.28,42.52
1213,Cohors Reformata (Post Marian Legionary Cohort),COHO,58,10,68.28,42.52
1214,Cohors Reformata (Post Marian Legionary Cohort),COHO,92,40,68.28,42.52
1215,Cohors Reformata (Post Marian Legionary Cohort),COHO,87,37,68.28,42.52
1216,Cohors Reformata (Post Marian Legionary Cohort),COHO,94,88,68.28,42.52
1217,Cohors Reformata (Post Marian Legionary Cohort),COHO,100,114,68.28,42.52
1218,Cohors Reformata (Post Marian Legionary Cohort),COHO,80,110,68.28,42.52
