Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
47,Wednesday Jun 6 (1),boxscore,NYM,@,PHI,L,0,2,,Dec-35,10,24,McLish,Craig,,2:40,N,,----------------
48,Wednesday Jun 6 (2),boxscore,NYM,@,PHI,L-wo,1,2,,Dec-36,10,24,Mahaffey,Jackson,,2:23,N,8681,-----------------
49,Friday Jun 8 (1),boxscore,NYM,@,CHC,W,4,3,,13-36,10,23.5,Hook,Hobbie,Anderson,2:44,D,,+
50,Friday Jun 8 (2),boxscore,NYM,@,CHC,L,2,3,8,13-37,10,23.5,Koonce,Miller,Elston,2:41,D,6483,-
51,Saturday Jun 9,boxscore,NYM,@,CHC,W,11,6,,14-37,10,22.5,Hunter,Buhl,Hillman,3:34,D,7544,+
52,Sunday Jun 10 (1),boxscore,NYM,@,CHC,W,2,1,,15-37,10,23.5,Craig,Ellsworth,MacKenzie,2:29,D,,++
53,Sunday Jun 10 (2),boxscore,NYM,@,CHC,L-wo,4,5,10,15-38,10,23.5,Schultz,MacKenzie,,2:47,D,16232,-
54,Monday Jun 11,boxscore,NYM,@,HOU,W,3,1,,16-38,10,23,Jackson,Farrell,,2:10,N,8920,+
55,Tuesday Jun 12,boxscore,NYM,@,HOU,L-wo,2,3,,16-39,10,23,Johnson,Anderson,,2:25,N,7344,-
56,Thursday Jun 14,boxscore,NYM,@,HOU,L,2,10,,16-40,10,23.5,Bruce,Hook,,3:00,N,10761,--
57,Friday Jun 15,boxscore,NYM,,CHC,L,1,5,,16-41,10,23.5,Anderson,Craig,Gerard,2:30,N,8983,---
58,Saturday Jun 16,boxscore,NYM,,CHC,L,3,6,,16-42,10,23.5,Cardwell,Hunter,Elston,3:03,D,9175,----
59,Sunday Jun 17 (1),boxscore,NYM,,CHC,L,7,8,,16-43,10,25,Gerard,Jackson,Elston,2:59,D,,-----
60,Sunday Jun 17 (2),boxscore,NYM,,CHC,L,3,4,,16-44,10,25,Cardwell,Mizell,,3:20,D,13128,------
61,Monday Jun 18,boxscore,NYM,,MLN,L,1,7,,16-45,10,26,Shaw,Hook,,2:43,N,9132,-------
62,Tuesday Jun 19,boxscore,NYM,,MLN,W,6,5,,17-45,10,26,Craig,Curtis,,2:44,D,3862,+
63,Wednesday Jun 20 (1),boxscore,NYM,,MLN,L,4,9,,17-46,10,26.5,Cloninger,Daviault,,3:09,D,,-
64,Wednesday Jun 20 (2),boxscore,NYM,,MLN,L,2,3,6,17-47,10,26.5,Hendley,Hunter,Burdette,2:07,D,6643,--
65,Friday Jun 22 (1),boxscore,NYM,,HOU,W,2,0,,18-47,10,26,Jackson,Farrell,,2:14,N,,+
66,Friday Jun 22 (2),boxscore,NYM,,HOU,L,3,16,,18-48,10,26,Golden,Miller,,2:54,N,11484,-
67,Saturday Jun 23,boxscore,NYM,,HOU,W,13,2,,19-48,10,26,Hook,Johnson,,2:28,D,6425,+
68,Monday Jun 25,boxscore,NYM,@,PIT,L &H,3,13,,19-49,10,25.5,Law,Anderson,,2:50,N,9310,-
69,Tuesday Jun 26,boxscore,NYM,@,PIT,L,2,5,,19-50,10,26,Francis,Hunter,Face,2:34,N,9534,--
70,Wednesday Jun 27,boxscore,NYM,@,PIT,L-wo,5,6,10,19-51,10,27,Olivo,Craig,,3:00,N,12468,---
71,Thursday Jun 28,boxscore,NYM,@,LAD,L-wo,4,5,13,19-52,10,27.5,Roebuck,MacKenzie,,4:09,N,19080,----
72,Friday Jun 29,boxscore,NYM,@,LAD,W,10,4,,20-52,10,27,Hook,Moeller,,3:33,N,24366,+
73,Saturday Jun 30,boxscore,NYM,@,LAD,L,0,5,,20-53,10,28,Koufax,Miller,,2:46,N,29797,-
